stress,strain,time
0.0,0.0,0.0
3.233758939637079e-14,0.0,0.018750000000000003
9.701276818911236e-14,0.0,0.037500000000000006
1.2935035758548315e-13,0.0,0.05625000000000001
6.467517879274158e-14,0.0,0.07500000000000001
9.701276818911236e-14,0.0,0.09375000000000001
8.0843973490927e-14,0.0,0.11250000000000002
8.084397349092696e-14,0.0,0.13125000000000003
36.46887254301712,0.0,0.15000000000000002
109.28709881141263,0.023761006624999984,0.16875
181.86684880243146,0.04752201325,0.18750000000000003
254.20924259527962,0.07128301987500002,0.20625000000000004
326.31539500835754,0.0950440265,0.22500000000000003
398.18641562396965,0.11880503312499999,0.24375000000000002
469.8234088129141,0.14256603975000004,0.26250000000000007
541.2274737589632,0.16632704637500004,0.28125000000000006
592.4966480645144,0.190088053,0.30000000000000004
623.6972485615952,0.20088138,0.31875000000000003
654.798337022987,0.21167470700000002,0.3375
685.8003808384158,0.222468034,0.35625
716.7038452023656,0.233261361,0.375
747.5091931243838,0.24405468800000002,0.39375000000000004
778.2168854393487,0.25484801500000004,0.41250000000000003
808.8273808176854,0.26564134200000006,0.43125
822.9264595339487,0.276434669,0.45
820.568371500226,0.27653314300000004,0.46875
818.2217880683228,0.276631617,0.4875
815.8866552032418,0.276730091,0.50625
813.5629191237734,0.27682856499999997,0.525
811.2505263013159,0.276927039,0.54375
808.9494234586782,0.277025513,0.5625
806.6595575688954,0.27712398699999996,0.58125
804.1994246156942,0.277222461,0.6
801.5695667361264,0.277202711875,0.61875
798.9519747593087,0.27718296275,0.6375
796.3465910745546,0.277163213625,0.65625
793.7533583417546,0.2771434645,0.675
791.1722194901304,0.277123715375,0.69375
788.6031177169438,0.27710396625,0.7125
786.045996486252,0.277084217125,0.73125
783.511031214552,0.277064468,0.75
780.9981323635908,0.27705138525,0.76875
778.4969791287741,0.2770383025,0.7875
776.0075163431009,0.27702521975,0.80625
773.5296890986826,0.277012137,0.825
771.0634427455241,0.27699905425,0.84375
768.6087228903052,0.2769859715,0.8625
766.1654753951854,0.27697288875,0.8812500000000001
763.7442984123813,0.276959806,0.9
761.3451034016704,0.2769536635,0.9187500000000001
758.9571502029128,0.276947521,0.9375
756.5803860153882,0.2769413785,0.95625
754.2147582863619,0.27693523600000003,0.9750000000000001
751.8602147099416,0.2769290935,0.99375
749.516703225906,0.276922951,1.0125
747.1841720185423,0.2769168085,1.03125
744.8683218297028,0.276910666,1.05
742.5690824773096,0.276908271375,1.06875
740.280631794734,0.27690587675,1.0875
738.002919109578,0.27690348212500004,1.10625
735.7358939874345,0.2769010875,1.125
733.4795062307908,0.276898692875,1.14375
731.233705877893,0.27689629824999995,1.1625
728.9984432016624,0.276893903625,1.18125
726.775875971846,0.276891509,1.2
724.5659476935417,0.2768905525,1.21875
722.366394873931,0.27688959599999996,1.2375
720.177168781388,0.2768886395,1.25625
717.9982209131845,0.276887683,1.275
715.8295029943911,0.2768867265,1.29375
713.670966976809,0.27688577000000003,1.3125
711.522565037925,0.2768848135,1.33125
709.386298181076,0.276883857,1.35
707.2621123180701,0.27688423525,1.3687500000000001
705.1479050135156,0.27688461350000004,1.3875000000000002
703.0436293999671,0.27688499175000003,1.40625
700.9492388300989,0.27688537,1.425
698.8646868756668,0.27688574825,1.44375
696.7899273265165,0.2768861265,1.4625
694.7249141895213,0.27688650475,1.48125
692.6710937246395,0.276886883,1.5
690.628415479948,0.276888233375,1.51875
688.5953372034098,0.27688958374999995,1.5375
686.5718138057489,0.276890934125,1.55625
684.5578004094564,0.2768922845,1.575
682.5532523477933,0.27689363487499996,1.59375
680.5581251638364,0.27689498525,1.6124999999999998
678.5723746094553,0.276896335625,1.6312499999999999
676.5955313072955,0.276897686,1.65
674.6275528178548,0.27689875924999996,1.66875
672.6688222380029,0.2768998325,1.6875
670.719296132009,0.27690090575,1.70625
668.7789312681488,0.276901979,1.725
666.8476846177612,0.27690305225,1.74375
664.9255133542747,0.2769041255,1.7625
663.0123748522586,0.27690519875,1.78125
661.1076503615192,0.276906272,1.8
659.2112995448767,0.27690696975,1.81875
657.3238585795991,0.2769076675,1.8375
655.445285617753,0.27690836525000007,1.85625
653.57553900795,0.276909063,1.875
651.7145772944423,0.27690976075,1.89375
649.8623592161837,0.2769104585,1.9125
648.0188437059358,0.27691115625,1.93125
646.1837406729104,0.276911854,1.95
644.3570102514705,0.276912389375,1.96875
642.5388619796603,0.27691292475,1.9875
640.7292555486973,0.276913460125,2.00625
638.9281508391382,0.2769139955,2.025
637.13550791995,0.276914530875,2.04375
635.3512870476637,0.27691506625,2.0625
633.5754486654744,0.276915601625,2.0812500000000003
631.8088161631555,0.276916137,2.1
630.0513475271231,0.2769172345,2.11875
628.3021381802827,0.27691833200000004,2.1375
626.5611493302717,0.27691942950000004,2.15625
624.8283423669513,0.276920527,2.175
623.1036788614824,0.2769216245,2.19375
621.3871205655493,0.276922722,2.2125
619.6786294104733,0.2769238195,2.23125
617.9775537701498,0.276924917,2.25
616.2838579440731,0.276925614625,2.26875
614.5981201355938,0.27692631225,2.2875
612.920302967374,0.276927009875,2.30625
611.2503692376237,0.2769277075,2.325
609.5882819192748,0.276928405125,2.34375
607.9340041591987,0.27692910275000004,2.3625
606.2874992773145,0.27692980037500003,2.38125
604.6489536984825,0.276930498,2.4
603.0183303557806,0.27693134087500004,2.41875
601.3953694237441,0.27693218375,2.4375
599.7800349134615,0.2769330266250001,2.45625
598.1722910050177,0.2769338695,2.475
596.5721020467389,0.276934712375,2.4937500000000004
594.9794325544278,0.27693555525,2.5125
